language,speakers
Moroccan Darija,27500000
Morori,50
Mouwase,450
Mozabite,150000
Muak Sa-aak,4500
Muinane,150
Mura,300
Murkim,290
Murui Huitoto,2900
Mwani,100000
Mòcheno,1900
Naba,280000
Nadëb,370
Nafusi,140000
Nagamese Creole,30000
Nage,50000
Nagpuri,7000000
Nakama,1600
Nakkara,58
Nambikwara,720
Namuyi,5000
Nanai,1390
Nanggu,210
Nanti,250
Nara,80000
Narak,6200
Nauruan,10300
Navajo,169369
Ndonga,810000
Negidal,74
Nenets,21926
Nengone,8700
Nepali,15800000
Nepali Kurux,33700
Nethalp,340
Newar,926200
Ngadha,60000
Ngadjunmaya,5
Nganasan,125
Ngiti,100000
Ngomba,63000
Nigerian Fulfulde,14500000
Nigerian Pidgin,4700000
Nihali,2000
Nimadi,1500000
Nisga’a,610
Niuean,10000
Nivkh,198
Nogai,87119
Nomatsiguenga,6500
Nonuya,2
Noongar,232
North Azerbaijani,9220610
North Bolivian Quechua,116000
North Frisian,10000
North Levantine Arabic,24600000
North Straits Salish,105
Northern Amami Ōshima,10000
Northern Embera,72000
Northern Khmer,1400000
Northern Luri,1500000
Northern Min,11000000
Northern Pashto,20900000
Northern Sami,25700
Northern Thai,6000000
Norwegian,5200000
Ntomba,100000
Nubi,42000
Nukak,831
Nuosu,2000000
Nupe,800000
Nyah Kur,1500
Nyingwom,5000
Nyole,310000
Nüpode Huitoto,100
O'odham,15000
Ocaina,190
Occitan,30000
Odia,34500000
Oirat,780000
Ojibwe,20470
Oksapmin,8000
Old Prussian,50
Omagua,2
Omi,91000
Oneida,55
Ongota,12
Onondaga,40
Orejón,70
Oro Win,5
Oroch,0
Oromo,24000000
Oroqen,1200
Osing,300000
Ossetian,599250
Oyda,37000
Pacaraos Quechua,35
Paha,600
Palenquero,2788
Palu'e,10000
Palula,10000
Pam,30
Pamona,137000
Panare,3500
Pandan Bikol,78000
Pangutaran Sama,35000
Papiamento,341300
Pare,500000
Paresí,1800
Parya,4000
Pará Arára,340
Pashto,50000000
Paumarí,290
Pazeh-Kaxabu,0
Pela,400
Pengo,350000
Pennsylvania German,148000
Permyak,63100
Persian,70000000
Peñasco Mixtec,7400
Piapoco,6400
Pichinglis,6000
Pirahã,389
Pitkern,532
Plains Cree,34000
Plains Indian Sign Language,75
Pnar,395124
Pohnpeian,29000
Poke,130000
Polish,39700000
Pontic Greek,778000
Portuguese,475300000
Principense,100
Puguli,14300
Puinave,3000
Pukapukan,450
Pulaar,4450000
Punjabi,125000000
Puno Quechua,500000
Puyuma,8500
Pyu,100
Qashqai,995000
Quechua,3799780
Rajasthani,36000000
Ramarama,210
Ratagnon,310
Rawang,63000
Rembong,5000
Reyesano,250
Rinconada Bikol,230000
Ripuarian,250000
Riung,14000
Rohingya,1800000
Romagnol,1100000
Romanian,24300000
Romano-Serbian,170000
Romansh,40039
Rongga,4000
Rukai,10500
Russia Buriat,219000
Russian,154000000
Russian Sign Language,120000
Rutulian language,47400
Sa'och,10
Saaroa,10
Sabanês,3
Safaliba,9000
Safeyoka,2390
Saisiyat,4750
Sak,4000
Sakizaya,958
Salar,70000
Salas,50
Saliba,1500
Sambal,70000
Sambalpuri,2630000
Samoan,415720
Samogitian,500000
Sango,5199000
Sanhaja de Srair,50000
Sanio,1300
Santiagueño Quechua,170000
Saramaccan,90000
Sardinian,1300000
Sassarese,100000
Saya,300000
Saʽidi Arabic,22400000
Scots,99200
Scottish Gaelic,117130
Seediq,20000
Selti,935000
Semai,10000
Seneca,100
Serbo-Croatian,19000000
Seychellois Creole,73000
Shabo,400
Shawiya,2300000
Sherdukpen,9663
Sherpa,150000
Shina,720200
Shipibo-Conibo,34152
Sholaga,24000
Shona,8300000
Shoshoni,1000
Shuar,35000
Siane,29000
Siberian Tatar,101000
Sicilian,4700000
Sierra Popoluca,36000
Sika,175000
Silesian,522000
Sinaugoro,18000
Sinauna,2500
Sindhi,24600000
Sinhala,15300000
Siona,550
Siriano,220
Sirionó,400
Slavey,2120
Soli,54400
Somali,16200000
South Azerbaijani,14640650
South Bolivian Quechua,1616120
South Levantine Arabic,11600000
South Oran and Figuig Berber,91000
Southern Amami Ōshima,1800
Southern Min,50100000
Southern Pashto,10900000
Southern Sami,600
Southern Thai,4500000
So’a,10000
Spanish,89500000
Squamish,1
Sranan Tongo,715700
Sri Lankan Creole Malay,46000
Sri Lankan Sign Language,12800
Standard Estonian,1164770
Standard Mandarin,1090951810
Stodse,4100
Sudanese Arabic,31900000
Sui,300000
Suki,3500
Sukurum,1160
Sumbawa,300000
Sundanese,32400000
Susu,2400000
Suyá,350
Swabian,820000
Swahili,15437390
Swedish,12362250
Swedish Sign Language,8000
Sylheti,22000000
Tabaru,15000
Tabasaran,126900
Tacana,1800
Tadaksahak,100000
Tagabawa,43000
Tagalog,23600000
Tagish,0
Tahitian,68000
Tai Laing,100000
Tajik,14000000
Tala,1000
Tamahaq,112900
Tamasheq,500000
Tamil,75000000
Tanapag,10
Tandia,0
Tanema,4
Tanimuca-Retuarã,300
Tanzanian Sign Language,278000
Taos,800
Tariana,100
Tarifit,4399000
Tatar,5200000
Tatuyo,400
Taushiro,1
Tausug,1100000
Taworta,140
Taʽizzi-Adeni Arabic,10500000
Tboli,95000
Teanu,800
Tebul Sign Language,500
Tecóatl Mazatec,18900
Telugu,82000000
Temascaltepec Nahuatl,310
Temuan,28000
Tepes,50
Ter Sami,2
Terêna,16000
Tetelcingo Nahuatl,3500
Tetserret,2000
Tetum,463500
Thai,20700000
Tharaka,176000
Tibetan,1200000
Ticuna,61000
Tidikelt,1000
Tigrinya,7659780
Tikopia,3324
Tindi,6693
Tinigua,1
Tiriyó,2100
Tiruray,50000
Tiwi,2040
Tlingit,500
Toba Batak,2000000
Tok Pisin,122000
Tol,500
Tongan,186010
Toromono,200
Torres Strait Creole,7800
Totontepec Mixe,5500
Trumai,120
Tsachila,2300
Tsakhur,23000
Tsakonian,2000
Tsonga,4009000
Tsou,2100
Tswa,1200000
Tugurt,8100
Tungag,12000
Tunisian Arabic,11600000
Turkish,88101920
Turkmen,16000000
Tutchone,360
Tuvan,297000
Tuyuca,570
U,40000
Udi,8000
Udmurt,340530
Ukrainian,26900000
Ukuriguma,170
Ukwa,100
Ulch,154
Umatilla,25
Ume Sami,100
Uneme,2023
Unserdeutsch,100
Upper Saxon,2000000
Upper Sorbian,13300
Upper Tanana,100
Urak Lawoi’,5000
Urhobo,1100000
Uru,200
Urum,185000
Uyghur,10400000
Uzbek,27000000
Vaghri,10000
